1	0	0	0	12.5	12.5	0	12.5	-12.5	0	-12.5	12.5	0	-12.5	-12.5	0
2	-15.221	20.949	-16.004	-4.588	19.968	-1.916	-25.854	8.788	-8.826	-4.588	33.111	-23.182	-25.854	21.931	-30.092
3	15.221	20.949	-16.004	25.854	8.779	-8.826	4.588	19.968	-1.916	25.854	21.931	-30.092	4.588	33.111	-23.182
4	-24.628	-8.002	-16.004	-18.056	-2.959	-0.387	-18.056	-24.225	-13.531	-31.199	8.221	-18.477	-31.199	-13.045	-31.621
5	0	-25.895	-16.004	12.5	-20.305	-4.824	12.5	-31.485	-27.184	-12.5	-20.305	-4.824	-12.5	-31.485	-27.184
6	24.628	-8.002	-16.004	18.056	-24.225	-13.531	18.056	-2.959	-0.387	31.199	-13.045	-31.621	31.199	8.221	-18.477
7	24.628	8.002	-41.899	31.199	-8.221	-39.425	31.199	13.045	-26.282	18.056	2.959	-57.516	18.056	24.225	-44.372
8	0	25.895	-41.899	-12.5	31.485	-30.719	-12.5	20.305	-53.079	12.5	31.485	-30.719	12.5	20.305	-53.079
9	-24.628	8.002	-41.899	-31.199	13.045	-26.282	-31.199	-8.221	-39.425	-18.056	24.225	-44.372	-18.056	2.959	-57.516
10	-15.221	-20.949	-41.899	-25.854	-21.931	-27.811	-4.588	-33.111	-34.721	-25.854	-8.788	-49.077	-4.588	-19.968	-55.987
11	15.221	-20.949	-41.899	4.588	-33.111	-34.721	25.854	-21.931	-27.811	4.588	-19.968	-55.987	25.854	-8.788	-49.077
12	0	0	-57.903	-12.5	12.5	-57.903	-12.5	-12.5	-57.903	12.5	12.5	-57.903	12.5	-12.5	-57.903
